nom,type,adresse,telephone,site_web,lat,lng,email_contact,statut,notes
Au Son des Guitares,bar,Nice,,,43.6959134,7.2604018,,,OSM
Au Sud de Nulle Part,bar,Nice,,,43.7150976,7.2616636,,,OSM
Au temps suspendu,bar,86 Boulevard de Cessole 06100 Nice,,,43.7173499,7.2531508,,,OSM
Au Thé de la Reine,restaurant,Nice,,,43.7496775,7.2782805,,,OSM
Au vieux Four,restaurant,Nice,+33 4 93 89 00 89,https://auvieuxfour-nice.com/,43.7014194,7.283538,,,OSM
Auberge de l'aire Saint-Michel,restaurant,2 Chemin de Chateaurenard Nice,,https://www.saint-nice.com/,43.7436267,7.2631619,,,OSM
Aurora,bar,Nice,+33 6 76 54 12 04,https://haurora-nice.com/,43.7018041,7.2805358,,,OSM
Aux 2 Palmiers,restaurant,Nice,+33 4 93 87 42 50,,43.6995349,7.26549,,,OSM
B 31,bar,Nice,,,43.696905,7.2617813,,,OSM
BA MA,restaurant,Nice,+33 9 81 67 00 75,https://bama-nice.com/,43.6972385,7.2623211,,,OSM
Babbo Mio,restaurant,Nice,,,43.7009754,7.2831699,,,OSM
Babel Babel,restaurant,Nice,+33493557419,https://www.babelbabel.fr/,43.6951499,7.2758402,,,OSM
Baby,bar,Nice,+33 6 26 94 46 51,,43.6970818,7.2732536,,,OSM
Bagatelle,bar,Nice,+33 4 93 80 52 15,,43.7036351,7.2701665,,,OSM
Baguettes d'argent,restaurant,26 Rue d'Angleterre Nice,,,43.7042086,7.264691,,,OSM
Baia Bella,restaurant,Nice,+33493011100,https://www.baiabella.com/,43.7113652,7.3370389,,,OSM
Ballanger,bar,Nice,,https://www.confiserie-ballanger.fr/confiserie-ballanger-nice/,43.6991713,7.2687029,,,OSM
Balthazar,restaurant,Nice,,,43.6951664,7.2652277,,,OSM
Bambino,bar,Nice,,,43.7000897,7.2646366,,,OSM
Bangkok,restaurant,Nice,,,43.6969315,7.2656442,,,OSM
Banh Mei,restaurant,Nice,,,43.6972281,7.277838,,,OSM
Bar à Mômes,restaurant,23 Avenue de Fabron Nice,,,43.6882925,7.2303328,,,OSM
Bar A Potes,bar,Nice,+33 9 74 64 08 25,,43.6973411,7.2752677,,,OSM
Bar de la Dégustation,bar,Nice,,,43.696956,7.2742126,,,OSM
Bar de la Machine,bar,7 Rue Acchiardi de Saint-Léger 06300 Nice,,,43.7139976,7.291779,,,OSM
Bar de la Victoire,bar,8 Rue Alberti Nice,,,43.6991267,7.2722773,,,OSM
Bar du Port,bar,Nice,,,43.6884682,7.3344455,,,OSM
Bar du Printemps,bar,18 Boulevard Auguste Raynaud Nice,+33493842571,,43.712231,7.258979,,,OSM
Bar Gaming,bar,Nice,,,43.7051995,7.2664854,,,OSM
Bar PMU Le Forez,bar,Nice,,,43.7102231,7.2609235,,,OSM
"Bar Vernier, Chez Robert",bar,Nice,,,43.70721,7.2599181,,,OSM
Bar-Tabac de la Paix,bar,3 Place de la Paix Nice,,,43.7045001,7.3102764,,,OSM
Bar-Tabac Le Gounod,bar,Nice,,,43.701722,7.2609243,,,OSM
Barbacane,restaurant,Nice,+33 9 85 11 27 58,,43.6957039,7.2759171,,,OSM
Barrique,bar,Nice,,https://lebarrique.fr,43.695943,7.2761142,,,OSM
Basilic & Co,restaurant,26 Rue Pastorelli Nice,,https://basilic-and-co.com/restaurants/pizzeria-nice/,43.7009388,7.2715639,,,OSM
Battambang Food,restaurant,12 Avenue Saint-Jean-Baptiste Nice,,https://battambang-food.com/,43.7021987,7.2782218,,,OSM
Bay Baie,restaurant,Nice,,,43.6795156,7.2299775,,,OSM
Bay Side,bar,Nice,,,43.6959648,7.2611542,,,OSM
BBS,restaurant,Nice,,,43.6894191,7.3336516,,,OSM
BDA Bar,bar,13 Rue Cassini 06300 Nice,+33 7 50 42 23 11,https://www.brasseriedaqui.com/le-bda-bar,43.6995527,7.2829204,,,OSM
Beach Club,restaurant,Nice,,,43.6574218,7.186144,,,OSM
Beer Company,bar,Nice,,,43.6972523,7.2775143,,,OSM
Beer District,bar,1 Place Philippe Randon Nice,+33 9 86 79 79 85,,43.7082309,7.2613329,,,OSM
Beirut Grill House,restaurant,Nice,+33 9 50 47 19 40,https://grillhousenice.com/,43.7034125,7.2644596,,,OSM
Bella Bay,restaurant,Nice,,https://bella-bay.fr/,43.6982489,7.269713,,,OSM
Bella Ciao,bar,Nice,,,43.6971157,7.2775036,,,OSM
Bella Ciela,bar,Nice,,,43.7037059,7.2667117,,,OSM
Berco,restaurant,Nice,,https://www.berco-nice.com/,43.6973334,7.2749005,,,OSM
Berlin,restaurant,8 Avenue Durante Nice,,,43.7022482,7.2626837,,,OSM
Beurré,bar,Nice,,,43.7012736,7.2664751,,,OSM
Bienvenue en Asie,restaurant,12 Rue Alberti 06000 Nice,+33493040643,https://bienvenue-en-asie.com/,43.6995738,7.2720065,,,OSM
Big Ben,bar,Nice,,,43.6991991,7.2720344,,,OSM
Big Pickle Cafe,restaurant,Nice,,,43.7015918,7.2897992,,,OSM
Biogstore,restaurant,Nice,+33493628612,https://biogstore.com/,43.7027169,7.2675103,,,OSM
Bistro Apéro,bar,Nice,,https://bistroapero.eatbu.com,43.6960763,7.2617403,,,OSM
Bistro-quai,restaurant,Nice,,,43.6573362,7.1849914,,,OSM
Bistrot Dalpozzo,restaurant,Nice,,https://www.bistro-dalpozzo-restaurant-nice.com/,43.6967726,7.261811,,,OSM
Bistrot de l'Opéra,restaurant,Nice,+33 4 93 62 34 72,https://bistrotdelopera.fr/,43.695865,7.2729532,,,OSM
Bistrot Drouot,bar,Nice,,,43.6983821,7.2870284,,,OSM
Bistrot Gourmand,restaurant,Nice,+33 4 92 14 55 55,https://www.bistrotgourmand.net/,43.6959834,7.2698625,,,OSM
Bistrot Jennifer,restaurant,Nice,,https://www.bistrotdejennifer.com/,43.6955921,7.2736196,,,OSM
Bistrot Poète,restaurant,Nice,+33 9 83 93 76 41,,43.701999,7.273202,,,OSM
Bistrot Rossetti,restaurant,Nice,,,43.6973144,7.2766332,,,OSM
Bistrot Vernier,bar,Nice,,,43.7075064,7.2630069,,,OSM
Blackbox,asso,Nice,,,43.7233709,7.2897286,,,OSM
Blanc de Zinc,bar,Nice,+33 9 74 64 08 00,,43.6963166,7.2767159,,,OSM
Blast,restaurant,Nice,,http://www.blast-nice.com,43.6953037,7.2765865,,,OSM
Blend,bar,Nice,,https://www.blendcoffeevinyl.com/,43.6967914,7.276713,,,OSM
Bleu Bay,restaurant,Nice,,,43.6580261,7.1899034,,,OSM
Blue Beach,restaurant,31 Promenade des Anglais 06000 Nice,,https://www.bluebeach.fr/,43.6941927,7.2597603,,,OSM
Bobar,bar,Nice,,https://www.bobarcomedyclub.fr,43.696915,7.2768411,,,OSM
Bocca Mar,restaurant,15 Promenade des Anglais Nice,+33 4 83 66 08 58,https://www.boccamar.com/,43.6945033,7.2631344,,,OSM
Bocca Nissa,restaurant,Nice,+33 4 93 71 76 64,https://www.boccanissa.com,43.695841,7.2731754,,,OSM
Boccaccio,restaurant,Nice,+33493877176,https://www.boccaccio-nice.com/,43.6976786,7.2684824,,,OSM
Bollywood Lollywood,restaurant,Nice,,https://www.bollywoodlollywood.fr/,43.6983071,7.2688463,,,OSM
Bonobo,bar,Nice,,https://www.splendid-nice.com/en/restaurant/,43.6986613,7.2598319,,,OSM
Boozen,restaurant,Nice,+33422131333,https://www.bozen.fr/page/bozen-nice-148/,43.6974493,7.2655651,,,OSM
Boston,bar,Nice,,,43.6988668,7.2843043,,,OSM
Bouchet,restaurant,Nice,,https://coquillagesbouchetnice.fr/,43.6990754,7.2855912,,,OSM
Bouff'scene,salle,Nice,,,43.7060408,7.2828069,,,OSM
Bozzi,restaurant,Nice,,,43.6963806,7.2735614,,,OSM
Braise,restaurant,Nice,,https://www.obraise-restaurants.fr/detail-restaurant/restaurant-o-braise-nice,43.7097263,7.2612011,,,OSM
Brasserie Borriglione,restaurant,Nice,+33 4 93 51 22 99,https://brasserieborriglione.fr,43.7134985,7.2618105,,,OSM
Brasserie Cantina De La Bourse,restaurant,Nice,,,43.6988562,7.2779386,,,OSM
Brasserie de Castillon,restaurant,Nice,,https://www.brasseriedecastillon.com,43.6990744,7.2837049,,,OSM
Brasserie De L'Etoile,bar,24 Avenue Jean Médecin Nice,,,43.7014295,7.2676862,,,OSM
Brasserie des Allées,bar,Nice,,,43.702122,7.2846334,,,OSM
Brasserie des Chauffeurs,bar,Nice,+33 4 93 16 85 67,,43.695652,7.2581693,,,OSM
Brasserie du capitol,bar,Nice,,,43.703749,7.2559943,,,OSM
Brasserie du Col,restaurant,90 Corniche André de Joly Nice,,,43.7057342,7.3009651,,,OSM
Brasserie du Port,restaurant,Nice,,,43.6988538,7.2844931,,,OSM
Brasserie Gal,restaurant,Nice,+33 4 93 26 46 20,,43.7033487,7.285316,,,OSM
Brasserie La Dominante,bar,47 Avenue Cyrille Besset Nice,,https://brasserie-la-dominante.eatbu.com,43.7164093,7.2571368,,,OSM
Brasserie Le Mistral,bar,4 Avenue Saint-Sylvestre Nice,,,43.7253601,7.2516696,,,OSM
Brasserie Nissarda,bar,69 Boulevard Gorbella Nice,,,43.725115,7.2557197,,,OSM
Brasserie St Vincent,restaurant,83 Avenue Simone Veil 06200 Nice,+33 4 92 07 00 69,https://www.facebook.com/stvincentbrasserie/,43.684379,7.202238,,,OSM
Brasserie Will'Man,bar,15 Boulevard de Cessole Nice,+33 4 93 97 10 25,,43.7116799,7.2553793,,,OSM
Brassitorium,bar,Nice,,,43.697859,7.2764221,,,OSM
Brewdog,bar,Nice,,https://www.brewdog.com/fr/nice,43.6960274,7.269312,,,OSM
Brume,bar,Nice,,https://brumecoffeenice.fr/,43.6988698,7.2785258,,,OSM
Bubble Paradise,bar,144 Boulevard Gambetta Nice,+33955936483,https://commandes-bubbleparadise.com/,43.709639,7.2561507,,,OSM
Bubble Time,bar,Nice,,,43.7055324,7.2662156,,,OSM
Bubbles Pearls,bar,Nice,,,43.6949418,7.2614734,,,OSM
Bulldog Pompéi,bar,Nice,,https://www.bulldogpompei.com/,43.6967717,7.2756066,,,OSM
Büma,restaurant,Nice,,,43.6980514,7.2656214,,,OSM
C'est la vie,bar,Nice,+33 6 20 35 93 73,https://cestlaviecafe.fr/,43.7067941,7.263863,,,OSM
Café & Fleurs,bar,Nice,,,43.7078708,7.2618522,,,OSM
Café Beyrouth,restaurant,Nice,+33 4 93 88 32 35,https://beyrouthcafe.com/,43.6973257,7.2627028,,,OSM
Café Cimiez,bar,184 Avenue des Arènes de Cimiez Nice,,,43.7205018,7.2762156,,,OSM
Café d'Azur,bar,Nice,+33 4 22 16 70 59,,43.7081,7.2843848,,,OSM
Café de Max,bar,Nice,,,43.7011167,7.267134,,,OSM
Café de Nice,restaurant,Nice,,,43.6973446,7.2657379,,,OSM
Café de Paris,restaurant,Nice,,https://www.cafe-de-paris-restaurant-nice.com/,43.6951093,7.2650367,,,OSM
Café de Turin,restaurant,Nice,,https://www.cafedeturin.fr/,43.7005778,7.2795676,,,OSM
Cafe Delfino,bar,Nice,,https://www.nicetnl.fr/project/cafe-delfino/,43.705437,7.2853874,,,OSM
Café des Aiglons,bar,6 Allée Camille Muffat Nice,,https://www.museedusport.fr/fr/page/cafe-des-aiglons,43.7063933,7.1924669,,,OSM
Café des Amis,bar,Nice,,https://cafedesamisnice.com/,43.6955178,7.2744948,,,OSM
Café des Musiciens,bar,Nice,,,43.7006842,7.2614222,,,OSM
Cafe du Centre,bar,Nice,,,43.7079688,7.3311471,,,OSM
Café du Cycliste,bar,Nice,+33 9 67 02 04 17,https://www.cafeducycliste.com/,43.6963941,7.2861149,,,OSM
Café du Palais,bar,Nice,,,43.6965253,7.273594,,,OSM
Café Fino,bar,Nice,+33 4 93 79 58 17,https://www.cafefino.fr/,43.6991002,7.2731565,,,OSM
Cafe Gourmand,bar,Nice,+33 4 97 05 05 35,,43.706733,7.288862,,,OSM
Café Marché,bar,Nice,,,43.6959042,7.2769142,,,OSM
Café Noir,restaurant,Nice,+33 4 83 84 65 05,,43.6960268,7.2707981,,,OSM
Caffé d'Angely,bar,23 Avenue des Diables Bleus Nice,,,43.7082179,7.2897857,,,OSM
Caffe Dodo,bar,Nice,,,43.6987687,7.2855394,,,OSM
Caffe Gambetta,restaurant,Nice,,,43.698765,7.2560392,,,OSM
Caffè Magas,bar,Nice,,,43.6944241,7.2560929,,,OSM
Caffè Orso,bar,Nice,,,43.7037414,7.2704935,,,OSM
Caffe Vergnano,bar,Nice,,https://www.caffevergnano.com/,43.6951743,7.2564742,,,OSM
Calade,restaurant,Nice,,,43.6844395,7.234886,,,OSM
Cali,bar,Nice,+33 9 54 70 14 35,https://cali-cantine.com/,43.7005161,7.259573,,,OSM
Campanile Nice Aéroport,restaurant,459-461 Promenade des Anglais Nice,+33 892 23 48 12,https://nice-aeroport.campanile.com,43.6670369,7.2146188,,,OSM
Campo Caffé,restaurant,Nice,,,43.7015184,7.2797436,,,OSM
Campo di Fiori,restaurant,Nice,,https://campodifiorinice.com/,43.6954237,7.2755107,,,OSM
Cañas y Tapas,restaurant,317 Avenue Eugène Donadeï 06700 Saint-Laurent-du-Var,,,43.6569651,7.1983407,,,OSM
Canastel,bar,4 Boulevard Gambetta Nice,,,43.6947453,7.256458,,,OSM
Canopée,bar,Nice,,,43.6989968,7.2840857,,,OSM
Canoun Dou Miejou,restaurant,Nice,,,43.7033646,7.2821297,,,OSM
Capitaine Cook,restaurant,11 06230 Saint-Jean-Cap-Ferrat,+33 4 93 76 02 66,,43.6881082,7.3372346,,,OSM
Capucine,bar,Nice,,,43.695807,7.2770328,,,OSM
Carlos & Maria,restaurant,Nice,,,43.7086279,7.2561908,,,OSM
Carmela,restaurant,Nice,+33 4 93 92 37 81,https://www.carmela-restaurant.com/,43.6955023,7.2769766,,,OSM
Carne e Verdura,restaurant,62 Rue Arson 06300 Nice,+33 9 81 65 19 27,,43.7046185,7.2891692,,,OSM
Carpe Diem,restaurant,Nice,,,43.6969662,7.2767485,,,OSM
Carré d'Or,restaurant,Nice,,,43.6978582,7.2668593,,,OSM
Caruso,restaurant,Nice,,,43.6975317,7.2748985,,,OSM
Casa Becchio,restaurant,Nice,+33 9 87 18 55 85,,43.6982366,7.2729103,,,OSM
Casa del Sabor,bar,Nice,,,43.6919988,7.2459649,,,OSM
Casa Elli,restaurant,Nice,,,43.6974581,7.265665,,,OSM
CaSa Leya,restaurant,Nice,,https://www.casaleya.com/,43.6955801,7.2737565,,,OSM
Casa Luna,restaurant,Nice,,,43.6579054,7.188668,,,OSM
Casa Nissa,restaurant,Nice,,https://www.casa-nissa.com/,43.6981455,7.2703274,,,OSM
Casa Tua,restaurant,Nice,,,43.6959426,7.2771954,,,OSM
Casablanca,restaurant,3 Rue Pierre Grilli Nice,,,43.7054452,7.255834,,,OSM
Castel,restaurant,8 Quai des États-Unis Nice,,https://www.castelplage.com,43.6944015,7.2783606,,,OSM
Catherine,bar,Nice,,,43.6987704,7.2818629,,,OSM
Cave à Jazz,restaurant,Nice,,,43.7037376,7.2646133,,,OSM
Cave de la Tour,restaurant,Nice,,https://cavedelatour.com,43.6996643,7.2784167,,,OSM
Cave Marta,restaurant,Nice,,,43.6982047,7.2659495,,,OSM
Cave Villermont,restaurant,Nice,,,43.7109235,7.2631913,,,OSM
Cave Washington,restaurant,Nice,+33 4 93 44 04 36,,43.6955557,7.2542075,,,OSM
Centre AnimaNice La Madeleine,asso,280 Boulevard de la Madeleine Nice,,https://www.nice.fr/fr/activites-et-loisirs/centre-animanice-la-madeleine,43.7080915,7.2310516,,,OSM
Centre de Loisirs Jeunesse,asso,Nice,+33 6 27 29 24 72,,43.6772509,7.2049087,,,OSM
Centre LGBTQIA+ Côte d'Azur,asso,Nice,+33483328184,https://centrelgbt06.fr/,43.7031891,7.2821656,,,OSM
Chabrol,restaurant,Nice,+33 9 83 04 36 73,https://www.le-chabrol-restaurant-nice.com/,43.6996979,7.2852,,,OSM
Chapelle Sancta-Maria de Olivo,salle,Nice,,,43.7061581,7.3349602,,,OSM
Charlie's & Co,bar,2 Rue de Lépante Nice,+33 4 89 98 02 01,,43.7028226,7.2709684,,,OSM
Chaud-Vin,restaurant,Nice,,,43.698405,7.2714713,,,OSM
Chefoo,restaurant,Nice,+33 4 97 12 56 95,,43.7042966,7.284375,,,OSM
Chez Anaïs,bar,6 Rue Pierre Dévoluy Nice,,,43.7032119,7.2740456,,,OSM
Chez André,restaurant,Nice,,,43.7099276,7.257238,,,OSM
Chez Cane,restaurant,317 Avenue de Fabron Nice,,https://chezcane.com/,43.697667,7.2092445,,,OSM
Chez Chacha,bar,Nice,,,43.6999405,7.2785585,,,OSM
Chez Davia,restaurant,Nice,+33 4 93 87 91 39,https://www.chezdavia.com/,43.6991033,7.2648218,,,OSM
Chez Emy-Ly,restaurant,Nice,,,43.678808,7.2278675,,,OSM
Chez Freddy,restaurant,Nice,,https://chezfreddy.fr/,43.6954533,7.2751668,,,OSM
Chez Garpo,restaurant,Nice,,,43.7116399,7.2650756,,,OSM
Chez Green Turtle,restaurant,30 Boulevard Jean-Baptiste Vérany 06300 Nice,,http://www.green-turtle.com/,43.7132112,7.2840528,,,OSM
Chez Jo,restaurant,Nice,,,43.6953677,7.2542251,,,OSM
Chez Juliette,restaurant,Nice,,,43.6971617,7.2767556,,,OSM
Chez les Garçons,bar,Nice,,https://www.chezlesgarcons.fr/,43.7046388,7.2688829,,,OSM
Chez Les Garçons,restaurant,28 Rue Catherine Segurane Nice,,https://www.chezlesgarcons.fr/,43.6984169,7.2821492,,,OSM
Chez Maître Pierre,bar,Nice,+33 4 93 87 77 95,https://www.chezmaitrepierre.com/,43.6968417,7.2654609,,,OSM
Chez Margot,restaurant,Nice,,,43.7019142,7.2853987,,,OSM
Chez Marie-Ange,restaurant,Nice,,,43.7020185,7.2599372,,,OSM
Chez Max,restaurant,Nice,+33 4 93 79 59 63,,43.6960005,7.2653107,,,OSM
Chez Mireille,restaurant,Nice,+33493852723,https://paella-chez-mireille-nice.eatbu.com,43.7064756,7.267129,,,OSM
Chez Mori's,restaurant,Nice,+33 9 67 42 38 83,https://www.chez-moris.com,43.6965942,7.264744,,,OSM
Chez Neco,bar,Nice,,,43.6799147,7.2295511,,,OSM
Chez Palmyre,restaurant,Nice,+33 4 93 85 72 32,,43.6981201,7.277542,,,OSM
Chez Papa,bar,Nice,,,43.7008029,7.2823436,,,OSM
Chez Papy André,restaurant,Nice,+33 9 82 79 11 49,https://chezpapyandre.com/,43.698079,7.2771778,,,OSM
Chez Paulette,restaurant,Nice,+33 4 93 79 36 30,https://www.paul.fr/stores/nice_victor_hugo,43.7008545,7.2827101,,,OSM
Chez Pauline,bar,Nice,,,43.7008053,7.2854141,,,OSM
Chez Pino,bar,56 Boulevard Virgile Barel Nice,,,43.7137408,7.2929854,,,OSM
Chez Pipo,restaurant,Nice,+33 4 93 55 88 82,https://www.chezpipo.fr/fr/,43.6999467,7.2855034,,,OSM
Chez Ritho,restaurant,Nice,+33 4 93 88 24 92,https://ritho.fr/,43.6961809,7.2652805,,,OSM
Chez Tanh,restaurant,Nice,+33 4 93 85 17 13,,43.7048938,7.2693932,,,OSM
Chez Thérésa,restaurant,Nice,,https://theresa-nice.com/,43.6970806,7.2772566,,,OSM
Chez Tonton,restaurant,208 Boulevard du Mercantour 06200 Nice,+33493830780,https://www.chez-tonton-david-restaurant-nice.com/,43.6785734,7.2030902,,,OSM
Chez Yanny,restaurant,46 Avenue Saint-Augustin 06200 Nice,+33 4 93 71 99 11,,43.6757234,7.2242647,,,OSM
China 12,restaurant,Nice,,,43.7039326,7.2636248,,,OSM
China Park,restaurant,Nice,,,43.6959826,7.2612495,,,OSM
China Town,restaurant,Nice,,,43.7034897,7.2639855,,,OSM
Chocoqueen,bar,Nice,,,43.7062581,7.283092,,,OSM
CHRS Maurice de Alberti,asso,Nice,,,43.7013541,7.2894258,,,OSM
Cibo,restaurant,Nice,+33 4 93 80 79 09,,43.7018875,7.2775405,,,OSM
Cinémathèque de Nice,salle,Avenue François Mitterrand 06300 Nice,,https://www.cinematheque-nice.com/,43.7094991,7.2870653,,,OSM
Citrus,restaurant,Nice,+33 4 93 16 27 93,,43.6966521,7.2759109,,,OSM
Civette de la Prefecture,restaurant,Nice,,,43.6963783,7.2762718,,,OSM
Clay,restaurant,Nice,,https://leclay.fr/,43.7006156,7.2816924,,,OSM
Clay,bar,47 Rue Gioffredo Nice,,https://leclay.fr/,43.6986196,7.2716846,,,OSM
